avg_runtime_i_th_pattern
24.01
24.98
24.465
36.545
32.35
25.275
26.765
28.47
41.0
32.86
27.71
30.855
25.82
26.085
26.095
28.2
26.16
26.87
44.805
27.17
26.945
28.17
28.345
29.175
29.28
31.335
26.695
26.955
27.67
27.235
27.27
28.48
34.0
31.01
35.425
30.965
37.365
37.945
27.565
28.345
28.03
27.9
28.91
28.18
27.99
28.63
28.995
28.35
29.09
31.615
