pattern_index,runtime,model
1,147.5399628,idp
2,163.795342,idp
3,173.0211189,idp
4,199.2265004,idp
5,284.6711244,idp
6,364.1403264,idp
7,401.9440829,idp
8,444.7215077,idp
9,489.6960523,idp
10,533.6988368,idp
11,548.0588792,idp
12,585.2741165,idp
13,591.5326913,idp
14,686.7992926,idp
15,802.0137682,idp
